ispb,name,code,fullName
40768766,LIONS TRUST DTVM,519.0,LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
41592532,MÉRITO DTVM LTDA.,454.0,MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
42047025,UNAVANTI SCD S/A,460.0,UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A
42066258,RJI,506.0,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA
42259084,SBCASH SCD,482.0,SBCASH SOCIEDADE DE CRÉDITO DIRETO S.A.
42272526,BNY MELLON BCO S.A.,17.0,BNY Mellon Banco S.A.
43180355,PEFISA S.A. - C.F.I.,174.0,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
43599047,SUPERLÓGICA SCD S.A.,481.0,SUPERLÓGICA SOCIEDADE DE CRÉDITO DIRETO S.A.
44019481,PEAK SEP S.A.,521.0,PEAK SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
44077014,BR-CAPITAL DTVM S.A.,433.0,BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
44189447,BCO LA PROVINCIA B AIRES BCE,495.0,Banco de La Provincia de Buenos Aires
44292580,HR DIGITAL SCD,523.0,HR DIGITAL - SOCIEDADE DE CRÉDITO DIRETO S/A
44478623,ATICCA SCD S.A.,527.0,ATICCA - SOCIEDADE DE CRÉDITO DIRETO S.A.
44683140,MAGNUM SCD,511.0,MAGNUM SOCIEDADE DE CRÉDITO DIRETO S.A.
44728700,ATF CREDIT SCD S.A.,513.0,ATF CREDIT SOCIEDADE DE CRÉDITO DIRETO S.A.
45246410,BANCO GENIAL,125.0,BANCO GENIAL S.A.
45745537,EAGLE SCD S.A.,532.0,EAGLE SOCIEDADE DE CRÉDITO DIRETO S.A.
45756448,MICROCASH SCMEPP LTDA.,537.0,MICROCASH SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE
45854066,WNT CAPITAL DTVM,524.0,WNT CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
46026562,MONETARIE SCD,526.0,MONETARIE SOCIEDADE DE CRÉDITO DIRETO S.A.
46518205,JPMORGAN CHASE BANK,488.0,"JPMorgan Chase Bank, National Association"
47593544,RED SCD S.A.,522.0,RED SOCIEDADE DE CRÉDITO DIRETO S.A.
47873449,SER FINANCE SCD S.A.,530.0,SER FINANCE SOCIEDADE DE CRÉDITO DIRETO S.A.
48795256,BCO ANDBANK S.A.,65.0,Banco AndBank (Brasil) S.A.
50579044,LEVYCAM CCV LTDA,145.0,LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.
50585090,"BCV - BCO, CRÉDITO E VAREJO S.A.",250.0,BCV - BANCO DE CRÉDITO E VAREJO S.A.
52937216,BEXS CC S.A.,253.0,Bexs Corretora de Câmbio S/A
53518684,BCO HSBC S.A.,269.0,BANCO HSBC S.A.
54403563,BCO ARBI S.A.,213.0,Banco Arbi S.A.
54641030,Câmara B3,,Câmara B3
55230916,INTESA SANPAOLO BRASIL S.A. BM,139.0,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo
57839805,BCO TRICURY S.A.,18.0,Banco Tricury S.A.
58160789,BCO SAFRA S.A.,422.0,Banco Safra S.A.
58497702,BCO LETSBANK S.A.,630.0,BANCO LETSBANK S.A.
58616418,BCO FIBRA S.A.,224.0,Banco Fibra S.A.
59109165,BCO VOLKSWAGEN S.A,393.0,Banco Volkswagen S.A.
59118133,BCO LUSO BRASILEIRO S.A.,600.0,Banco Luso Brasileiro S.A.
59274605,BCO GM S.A.,390.0,BANCO GM S.A.
59285411,BANCO PAN,623.0,Banco Pan S.A.
59588111,BCO VOTORANTIM S.A.,655.0,Banco Votorantim S.A.
60394079,BCO ITAUBANK S.A.,479.0,Banco ItauBank S.A.
60498557,BCO MUFG BRASIL S.A.,456.0,Banco MUFG Brasil S.A.
60518222,BCO SUMITOMO MITSUI BRASIL S.A.,464.0,Banco Sumitomo Mitsui Brasileiro S.A.
60701190,ITAÚ UNIBANCO S.A.,341.0,ITAÚ UNIBANCO S.A.
60746948,BCO BRADESCO S.A.,237.0,Banco Bradesco S.A.
60814191,BCO MERCEDES-BENZ S.A.,381.0,BANCO MERCEDES-BENZ DO BRASIL S.A.
60850229,OMNI BANCO S.A.,613.0,Omni Banco S.A.
60889128,BCO SOFISA S.A.,637.0,BANCO SOFISA S.A.
60934221,Câmbio B3,,Câmara de Câmbio B3
61024352,BANCO VOITER,653.0,BANCO VOITER S.A.
61033106,BCO CREFISA S.A.,69.0,Banco Crefisa S.A.
61088183,BCO MIZUHO S.A.,370.0,Banco Mizuho do Brasil S.A.
61182408,BANCO INVESTCRED UNIBANCO S.A.,249.0,Banco Investcred Unibanco S.A.
61186680,BCO BMG S.A.,318.0,Banco BMG S.A.
61348538,BCO C6 CONSIG,626.0,BANCO C6 CONSIGNADO S.A.
61384004,AVENUE SECURITIES DTVM LTDA.,508.0,AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
61444949,SAGITUR CC,270.0,SAGITUR CORRETORA DE CÂMBIO S.A.
61533584,BCO SOCIETE GENERALE BRASIL,366.0,BANCO SOCIETE GENERALE BRASIL S.A.
61723847,NEON CTVM S.A.,113.0,NEON CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
61747085,TULLETT PREBON BRASIL CVC LTDA,131.0,TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA
61809182,C.SUISSE HEDGING-GRIFFO CV S/A,11.0,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A
61820817,BCO PAULISTA S.A.,611.0,Banco Paulista S.A.
62073200,BOFA MERRILL LYNCH BM S.A.,755.0,Bank of America Merrill Lynch Banco Múltiplo S.A.
62109566,CREDISAN CC,89.0,CREDISAN COOPERATIVA DE CRÉDITO
62144175,BCO PINE S.A.,643.0,Banco Pine S.A.
62169875,NU INVEST CORRETORA DE VALORES S.A.,140.0,NU INVEST CORRETORA DE VALORES S.A.
62232889,BCO DAYCOVAL S.A,707.0,Banco Daycoval S.A.
62237649,CAROL DTVM LTDA.,288.0,CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
62285390,SINGULARE CTVM S.A.,363.0,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
62287735,RENASCENCA DTVM LTDA,101.0,RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
62331228,DEUTSCHE BANK S.A.BCO ALEMAO,487.0,DEUTSCHE BANK S.A. - BANCO ALEMAO
62421979,BANCO CIFRA,233.0,Banco Cifra S.A.
65913436,GUIDE,177.0,Guide Investimentos S.A. Corretora de Valores
67030395,TRUSTEE DTVM LTDA.,438.0,TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
68757681,SIMPAUL,365.0,SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.
68900810,BCO RENDIMENTO S.A.,633.0,Banco Rendimento S.A.
71027866,BCO BS2 S.A.,218.0,Banco BS2 S.A.
71590442,LASTRO RDV DTVM LTDA,293.0,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.
71677850,FRENTE CC S.A.,285.0,FRENTE CORRETORA DE CÂMBIO S.A.
73622748,B&T CC LTDA.,80.0,B&T CORRETORA DE CAMBIO LTDA.
74828799,NOVO BCO CONTINENTAL S.A. - BM,753.0,Novo Banco Continental S.A. - Banco Múltiplo
75647891,BCO CRÉDIT AGRICOLE BR S.A.,222.0,BANCO CRÉDIT AGRICOLE BRASIL S.A.
76461557,CCR COOPAVEL,281.0,Cooperativa de Crédito Rural Coopavel
76543115,BANCO SISTEMA,754.0,Banco Sistema S.A.
76641497,DOURADA CORRETORA,311.0,DOURADA CORRETORA DE CÂMBIO LTDA.
78157146,CREDIALIANÇA CCR,98.0,Credialiança Cooperativa de Crédito Rural
78626983,BCO VR S.A.,610.0,Banco VR S.A.
78632767,BCO OURINVEST S.A.,712.0,Banco Ourinvest S.A.
80271455,BCO RNX S.A.,720.0,BANCO RNX S.A.
81723108,CREDICOAMO,10.0,CREDICOAMO CREDITO RURAL COOPERATIVA
82096447,CREDIBRF COOP,440.0,CREDIBRF - COOPERATIVA DE CRÉDITO
87963450,MAGNETIS - DTVM,442.0,MAGNETIS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
89960090,RB INVESTIMENTOS DTVM LTDA.,283.0,RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA
90400888,BCO SANTANDER (BRASIL) S.A.,33.0,BANCO SANTANDER (BRASIL) S.A.
91884981,BANCO JOHN DEERE S.A.,217.0,Banco John Deere S.A.
92702067,BCO DO ESTADO DO RS S.A.,41.0,Banco do Estado do Rio Grande do Sul S.A.
92856905,ADVANCED CC LTDA,117.0,ADVANCED CORRETORA DE CÂMBIO LTDA
92874270,BCO DIGIMAIS S.A.,654.0,BANCO DIGIMAIS S.A.
92875780,WARREN CVMC LTDA,371.0,WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.
92894922,BANCO ORIGINAL,212.0,Banco Original S.A.
94968518,EFX CC LTDA.,289.0,EFX CORRETORA DE CÂMBIO LTDA.
,,,
,,,
